"source","target","sectionlength"
"BEFNTA1","BEFNT11","0.7"
"BEFNDA1","BERDE9","0.43"
"BEFNDA2","BERGE9","0.652"
"BEDSPA1","BEFNTA1","0.6"
"BEFNTA1","BEFNDA1","0.97"
"BERDE9","BEFNDA2","0.7"
"BEFKTH","BEGWD","3.957"
"BELB","BEYLUBL","1.14"
"BEYGNS","BEGNS","0.5"
"BEMID","BEGKT","1.7"
"BEGSM","BELKP","2.366"
"BEYLUBL","BEAND","0.86"
"BEFNDM","BELB","1.3"
"BEGWD","BEFES","4.082"
"BEGKT","BEFKTH","1.261"
"BERLBS","BELKR","1.786"
"BEYFNZG","BEYHLND","1.26"
"BEGNS","BEYFNZG","1.3"
"BELKR","BEYSMBR","0.849"
"BEAND","BERLBS","0.665"
"BELKPWS","BEMID","5.29"
"BELKP","BELKPWS","0.944"
"BEYSMBR","BEGSM","0.1"
"BEYHLND","BEFNDM","0.94"
"BEFN","BEYGNS","1.7"
"BEFES","EU00090","0.738"
"BERLBS","BELBWB","0.535"
"BEYDRHS","BEYSMBR","0.9"
"BEFNZCH","BEYHLND","0.9"
"BEYFNZG","BEFNZCH","0.5"
"BEFKI","BEYLINT","1.1"
"BEFLRDE","BEFLR","1.141"
"BEYLINT","BEFLRDE","3.9"
"BEYDUFF","BEYLINT","0.9"
"BELNE","BELBG","8.9"
"BEFHT","BEYKRBG","1.04"
"BEYDRBS","BEYAUBR","1.1"
"BEGBC","BEFLRCG","4.94"
"BEFJE","BEFOW","5.7"
"BEYKRBG","BEGOL","4.9"
"BEGOL","BELG","6.1"
"BEFOW","BELWO","2.7"
"BELZH","BELZHPU","3.998"
"BELG","BELML","9.2"
"BEMBV","BERMI","1.576"
"BELZHPU","BEYZONH","1.0"
"BELWO","BEYALBK","1.462"
"BEMHD","BEMZDKS","2.9"
"BEFLR","BEYNZTH","2.051"
"BELML","BELNE","4.9"
"BEYALBK","BEFHT","1.798"
"BEDBIST","BELEK","1.3"
"BEYNZTH","BEDBIST","1.105"
"BEYAUBR","BEGBC","1.66"
"BEFLRCG","BEFLR","1.144"
"BELEK","BEFJE","3.5"
"BERMI","BELBN","2.861"
"BELBN","BEMHD","3.38"
"BELBG","BEMBV","3.783"
"BEMZDKS","BEMZD","0.569"
"BEMZD","BELZH","6.433"
"BEYKRBN","BEYAUBR","1.0"
"BEFLRCG","BEFLR","1.144"
"BEKLHEI","BEGBL","3.749"
"BEGBL","BEMWC","3.181"
"BEGHO","BEGB","5.864"
"BEYRSTN","BEYRSTO","0.8"
"BEGB","BEGBD","2.606"
"BENRSTN","BEYRSTN","1.1"
"BEGBD","BENRSTN","2.309"
"BEYNZTH","BEKLHEI","1.253"
"BEMWC","BEGHO","3.613"
"BEYRSTZ","BEYRSTN","0.9"
"BELTD","BELH","3.1"
"BEYFDT","BELTD","9.005"
"BEGBW","BELOL","4.656"
"BEGHA","EU00091","0.915"
"BELNP","BEGHA","8.771"
"BELML","BEGBW","9.412"
"BEGOV","BELNP","1.3"
"BELOL","BEGOV","7.932"
"BEGLK","EU00092","0.577"
"BEFLD","BEYGIST","1.872"
"BEFST","BEFAK","11.3"
"BEYGIST","BEFST","8.819"
"BEFAK","BEFHS","6.427"
"BEYBKHE","BEFKGG","3.169"
"BEFHS","BEYFHSN","1.763"
"BEFKGG","BEFKGGM","1.0"
"BEGKWI","BEGKW","0.407"
"BEYFHSN","BEYZONH","1.5"
"BEYZONH","BEGKWI","1.193"
"BEFKY","BEBOKBH","3.6"
"BEBOKBH","BEYBKHE","0.581"
"BEGKW","BEFKY","4.3"
"BEYBSDL","BEYTEMN","0.783"
"BEFKGG","BERFGKU","1.695"
"BEYKABK","BERKGZF","1.373"
"BERFGKU","BEYNWDK","1.471"
"BERKGZF","BEYRWEG","4.515"
"BEYNWDK","BEYBSDL","1.254"
"BEYTEMN","BERKGNF","1.661"
"BERKGNF","BEYKABK","0.376"
"BEYBKHE","BEFKG","2.3"
"BEYBKHE","BEYNWDK","0.928"
"BEFLD","BEYGIST","1.872"
"BERKGNF","BEFKGLF","0.931"
"BEFKGLF","BERKGZF","0.818"
"BEAMZD","BEIJSLD","2.135"
"BEYBSDL","BEFKGRH","0.5"
"BEYBERN","BEGFM","7.1"
"BEBOTZ","EU00007","1.121"
"BEYFVSH","BEFVSH","0.649"
"BEFVSH","BEYBERN","1.051"
"BEYLGL","BEGBG","6.24"
"BERFVS","BEYFVSH","2.0"
"BEGMNGN","BEGMNE","0.476"
"BEGMNGQ","BEBOTZ","5.6"
"BEGFM","BEGRM","5.3"
"BEGMNE","BEGMNGQ","0.59"
"BEGBG","BERFVS","4.7"
"BEGMNGM","BEGMNGN","1.698"
"BEGRM","BEGMNGM","2.981"
"BEYLNGC","BEYBERN","1.045"
"BEFVS","BEYLNGC","2.555"
"BEYLNGC","BEFVSH","0.492"
"BEFVSH","BEYFVSH","0.649"
"BEGMN","BEGMNE","1.194"
"BEGMNE","BEGMNGQ","0.59"
"BEGMNGM","BEGMN","0.98"
"BEFVSH","BEYBERN","1.051"
"BEYFVSH","BEFVSH","0.649"
"BEFM","BELNK","1.5"
"BEFPH","BEFWE","2.3"
"BEFSR","BEBUDA","4.9"
"BEFN","BELB","3.298"
"BEFVV","BEFPH","4.2"
"BEGMOD","BEYBSTA","0.945"
"BEGMOG","BEGMOD","1.455"
"BEFKI","BEMHO","2.216"
"BELB","BEYLUBL","1.092"
"BEFWE","BEYABLS","3.16"
"BEFMDST","BEFWA","3.651"
"BEFWA","BEFDF","2.4"
"BELNK","BEFMDST","0.849"
"BEFCV","BEYFCVN","0.404"
"BEYABLS","BEFM","1.44"
"BEFDF","BEFKI","4.9"
"BEBUDA","BEFVV","2.1"
"BEYFCVN","BEYARST","0.617"
"BEFBN","BEFSR","2.324"
"BEYARST","BEFN","0.879"
"BEMHO","BEGMOG","2.218"
"BEYBSTA","BEFCV","1.066"
"BEYABLS","BEFM","1.46"
"BEYALBR","BEYMCHZ","5.134"
"BEYMCHN","BEYABLS","10.244"
"BEYMCHZ","BEYMCHN","2.162"
"BEFM","BELNK","1.5"
"BEFDEL","BEDSTIB","0.1"
"BEHMIVB","BEBOR","1.4"
"BEHUI","BEYFHN","1.388"
"BEGSO","BEYLKHL","1.732"
"BEFSR26","BEFSRIR","1.025"
"BEY50","BEMER","1.455"
"BEFSRCP","BEYKEBK","0.863"
"BEYKEBK","BEYHAHE","0.726"
"BEGEV","BEGSJ","0.515"
"BEGDI","BEGSO","0.9"
"BEYHAHE","BEGHT","0.211"
"BEGSJ","BEMEI","1.085"
"BEGBB","BEHUI","3.2"
"BEFSRV","BEFSR26","0.575"
"BEYFW","BEYBNDL","0.48"
"BEYMTB","BEYFW","0.298"
"BEFSRIR","BEYRBRS","0.285"
"BEGAR","BEBOL","0.951"
"BEGHT","BEHMIVB","0.1"
"BEYRBRS","BEFSRCP","0.315"
"BEMEI","BEY50","0.445"
"BEMER","BEFDEL","2.2"
"BEDSTIB","BEYMTB","0.142"
"BEYLKHL","BEMOE","0.996"
"BEYBNDL","BEGAR","0.029"
"BEMOE","BEGBB","2.472"
"BEBOL","BEGDI","1.7"
"BEBOR","BEGEV","1.1"
"BEYKEBK","BEYMCHL","1.814"
"BEMTB","BEYMTB","1.119"
"BEMTB","BEYBNDL","1.416"
"BEYLKHL","BEYLKBK","1.489"
"BEYZEBR","BEFSR","1.25"
"BEYRBRS","BEYGHTN","0.5"
"BEFBN","BERFBNF","0.806"
"BEYSKLW","BEFWA","0.1"
"BEYBSTA","BEYGHKN","0.864"
"BEYGRPG","BEFSRQC","0.9"
"BEYDRBS","BEGMO","1.3"
"BEYFCVN","BEYARST","0.617"
"BEYDUFF","BEFKI","1.3"
"BEFKI","BEMHO","2.317"
"BEYOTBK","BEYSKLW","1.7"
"BEFWA","BEFDF","2.4"
"BEFM","BELNK","1.5"
"BEFPH","BEYFWE","2.1"
"BEFSR","BEYGRPG","2.8"
"BEFMCH","BEYMCHL","0.7"
"BEFWE","BEFM","4.5"
"BEFMDST","BEYOTBK","1.886"
"BEYFWE","BEFWE","0.4"
"BEYGHKN","BEFCV","0.222"
"BEYGHTN","BEFMCH","0.405"
"BELNK","BEFMDST","0.814"
"BEFSRQC","BEYGHTN","0.695"
"BEYARST","BEFN","1.047"
"BEFVV","BEFPH","4.2"
"BEGMOL","BEYLSWG","0.176"
"BEMHO","BEGMOL","2.007"
"BERFBNF","BEFSR","1.6"
"BEYLSWG","BEYDRBS","1.1"
"BEFDF","BEYDUFF","3.6"
"BEFCV","BEYFCVN","0.4"
"BEYMCHL","BEFVV","1.5"
"BEGMO","BEYBSTA","1.014"
"BEFCV","BEYFCVO","0.2"
"BEYGNS","BEGNS","0.6"
"BEYLEOP","BEKONGO","0.8"
"BEKONGO","BERHODE","1.1"
"BELB","BEAND","2.0"
"BEYHLND","BEFNDM","0.94"
"BEYFNZG","BEYHLND","1.26"
"BEYGHKZ","BEFCV","0.7"
"BERLBS","BEYDRHS","3.035"
"BERFNC1","BEYEKDK","1.0"
"BEYFCVO","BEYGNS","0.5"
"BEYNDRL","BEYLEOP","0.5"
"BEGNS","BEYFNZG","1.3"
"BEYSCHN","BERFNC1","0.8"
"BEYLSWG","BEYKRBN","1.0"
"BEYDRHS","BEYSCHN","1.1"
"BEYEKDK","BEYNDRL","1.8"
"BEAND","BERLBS","0.665"
"BEFNDM","BELB","1.3"
"BEYKRBN","BEYGHKZ","2.7"
"BEFSRRG","BEFSRKC","0.926"
"BEFSRRN","BEFSRR","1.45"
"BEFSR","BEFSRRN","0.9"
"BEFSRKC","BEFSRIR","0.174"
"BEFSRR","BEFSRRG","0.35"
"BEYFCVN","BEYGNS","0.4"
"BERFIZT","BEFMW","1.7"
"BELNK","BEFMDST","0.813"
"BERFIZT","BEFIZ","0.4"
"BEYFWE","BEFHF","2.1"
"BEYPRHK","BERFIZT","1.2"
"BEFIZ","BEYFIZ","1.5"
"BEYFIZ","BELNK","1.5"
"BEFHF","BEYPRHK","1.8"
"BEFMDST","BEYOTBK","1.887"
"BEYPRHK","BEYHEVR","1.3"
"BEFSRNO","BEYFSRC","0.399"
"BERFBNF","BEFSR","1.6"
"BEFSR","BEFSRNO","1.2"
"BEYFSRC","BEFSRR","0.901"
"BEYMUBR","BEYORDR","1.2"
"BEYEKDK","BEYMUBR","1.0"
"BEYOLIL","BEFND10","0.644"
"BEYORDR","BEYKRSK","0.6"
"BEYKRSK","BEYOLIL","1.656"
"BEFSRRG","BEFSR14","1.1"
"BEYGRPG","BEFSRRG","0.32"
"BEYBCKS","BEYPAHS","0.8"
"BEYKUGM","BEFBKI","0.7"
"BEYKUGM","BEYFOST","0.7"
"BEFBCM","BEYKUGM","0.4"
"BEFIZG","BEYFIZ","0.6"
"BEFIZ","BEFIZG","0.9"
"BERFIZT","BEFIZ","0.4"
"BEYKUGM","BEFBKIF","0.344"
"BEFBKIF","BEFBKI","0.356"
"BEYPAHS","BEGTX","0.59"
"BEYKUGM","BEFBMZ","1.184"
"BEFBOW","BEYKUGM","2.287"
"BEGTX","BESIM","1.202"
"BESIM","BEFBOW","1.521"
"BEYLAKN","BEYPAHS","1.1"
"BEFTL","BEFTR","9.549"
"BEYKRBG","BEFTL","7.419"
"BEFTR","BEFTRB","0.64"
"BEVAUTO","BEFTG","1.51"
"BEFIEWS","BEYRWEG","0.65"
"BEGDP","BEFHS","7.449"
"BEFL","BEFLJ","1.552"
"BELGL","BEYLGL","0.733"
"BEBVRST","BEGDP","6.0"
"BEFLGP","BELHS","4.0"
"BEFIE","BEFIEWS","0.5"
"BEYLGL","BEVAUTO","4.157"
"BELHS","BELTM","4.9"
"BEFTG","BEFIE","10.4"
"BELSL","BELGL","7.4"
"BEYRWEG","BEBVRST","1.25"
"BELTM","BELSL","2.2"
"BEFLJ","BEFLGP","0.9"
"BELSL","BELSLF","0.7"
"BEYRSTZ","BEFRST","1.083"
"BELGD","BEYRSTO","1.5"
"BEYRSTO","BEYRSTZ","1.2"
"BEYFLVM","BEFLV","1.588"
"BEFHS","BEWDT35","1.651"
"BELWZ","BEYHLBK","5.795"
"BEYFDT","BEFDT","0.853"
"BEFDT","BEGZC","4.875"
"BEYFHSW","BEGSUS","7.789"
"BEWDT35","BEYFHSW","0.5"
"BEYHLBK","BEYFLVM","1.662"
"BEGSU","BEYFDT","9.372"
"BEGSUS","BEGSU","0.611"
"BEGTT","BELGD","6.0"
"BEFRST","BELWZ","6.138"
"BEGZC","BEGTT","3.0"
"BEFHS35","BEYFHSN","0.4"
"BEYFHSW","BEFHS35","0.7"
"BEFLVP","BEYTIVO","0.688"
"BEFLV","BEFLVP","0.451"
"BEYFLVM","BEFLVV","0.522"
"BEFLVV","BEFLV","1.066"
"BEFHS","BEFHSW","1.451"
"BEFHSW","BEYFHSW","0.7"
"BEFHSA","BEYFHSW","0.6"
"BEFHS","BEFHSA","1.7"
"BEYHLBK","BEYWILS","1.621"
"BEFHS","BEFHSL","1.399"
"BEFHS","BEFHSE","1.3"
"BERBIER","BEANS","3.211"
"BEFTBG","BEMRP","2.429"
"BEFZA","BEYFZA","0.7"
"BEYFDG","BEFDG","0.645"
"BEYMLBK","BEFVK","8.7"
"BEYFET","BEFET","0.7"
"BEYLEM","BELEM","0.3"
"BEFTNN","BEFZE","6.4"
"BEFTI","BERBIER","0.41"
"BEFWI","BEFLD","3.63"
"BEFXH","BEGVX","2.32"
"BEFVR","BEBLE","2.7"
"BEYFLVM","BEFLV","1.522"
"BEGFLPL","BEFL","1.148"
"BELEM","BELEMCD","1.1"
"BELEMCD","BEFTB","1.7"
"BEYFZA","BEYLEM","1.6"
"BEFTB","BEFTBG","0.571"
"BEGVX","BEYGVX","1.212"
"BEMRP","BEFEM","3.4"
"BERFBNF","BEFSR","1.6"
"BEFSR","BEGHZ","2.8"
"BEFVK","BEFTNN","7.5"
"BEYGVX","BEFTI","0.768"
"BEGHZ","BEYFDG","1.455"
"BEMO","BEFXH","2.2"
"BEFZE","BEFWI","3.0"
"BEYWILS","BEYFLVM","1.02"
"BEFBN","BERFBNF","0.806"
"BEANSPL","BEGFLPL","3.37"
"BEANS","BEANSPL","1.609"
"BEFEM","BEYFET","2.3"
"BEFLV","BEYMLBK","2.509"
"BEFLD","BEFVR","14.07"
"BEFET","BEYWILS","2.049"
"BEFMU","BEMO","3.5"
"BEFDG","BEFZA","1.9"
"BEBLE","BEFMU","2.6"
"BESP059","BEYFDG","0.617"
"BEYKEBK","BESP059","0.336"
"BEYTIVO","BEYMLBK","0.805"
"BEFLV","BEYTIVO","1.704"
"BEYHAHE","BEYFDG","0.975"
"BEYFZA","BEYLHVN","1.046"
"BEYBRCG","BEYMCHN","1.361"
"BEFBNL","BEYBRCG","2.007"
"BEYLHVN","BEFBNL","1.129"
"BEYGVX","BENKGRF","11.833"
"BENKGRF","BENK","0.559"
"BEFBN","BERFBNF","0.77"
"BEYFET","BEFET","0.7"
"BEFDG","BEFZAPQ","1.5"
"BEFSR","BEYALBR","0.736"
"BEYFZA","BELEM","1.9"
"BEFZAPQ","BEFZA","0.4"
"BEFEM","BEYFET","2.3"
"BELEMCD","BEFTB","1.7"
"BEYALBR","BEGHZ","2.064"
"BERFBNF","BEFSR","1.6"
"BELEM","BELEMCD","1.1"
"BEMRP","BEFEM","3.4"
"BEGHZ","BEYFDG","1.455"
"BEFZA","BEYFZA","0.7"
"BEFTB","BEMRP","3.0"
"BEFET","BEFLV","4.591"
"BEYFDG","BEFDG","0.645"
"BEYFLVM","BEFLV","1.522"
"BEYLEM","BEYLHVN","1.464"
"BEGVXL","BEYGVX","1.632"
"BEGWK","BEYHABR","7.601"
"BEVDL","BEGDL","0.308"
"BEFRZ","BEGON","1.7"
"BEMGR","BEFCH","1.575"
"BEYAGSS","BEMGR","0.6"
"BEGVO","BEVDL","7.045"
"BEYHABR","BEREG","0.611"
"BEGV","BEGVO","1.0"
"BEGON","BEFIP","1.1"
"BEFNV","BEFPS","5.0"
"BEFIP","BEFNV","1.5"
"BEGDL","BEGWK","4.947"
"BEFPS","BEGV","4.3"
"BEFL","BEYVALB","1.252"
"BEREG","EU00008","1.13"
"BEYVALB","BEYAGSS","0.7"
"BEFCF","BEFRZ","3.65"
"BEFCH","BEFCF","3.175"
"BENK2","BEYAGSS","0.6"
"BEFL","BEYVALB","1.352"
"BEYVALB","BEYAGSS","0.8"
"BEFL","BEYVALB","1.252"
"BEFLFSC","BEYVALB","0.435"
"BEFL","BEFLFSC","0.917"
"BEGWK","BEGMNGQ","8.166"
"BERFROI","BEYGADI","0.7"
"BEYGADI","BEYVALB","0.5"
"BEYGADI","BEYAGSS","0.7"
"BEFVS","EU00093","2.36"
"BERFROI","BEFBX","3.342"
"BEFBX","BEFVS","12.558"
"BERBLRO","BEMWL","5.6"
"BEFVI","BEFVY","11.5"
"BEFVY","EU00095","2.023"
"BECOO","BEFNO","2.33"
"BEMWL","BEMSO","12.753"
"BEMSO","BECOO","11.299"
"BEMRV","BERBLRO","2.383"
"BEFNO","BEFVI","12.118"
"BELHM","BESY","4.0"
"BEMPS","BEMRVM","2.96"
"BEMTF","BEMRY","3.2"
"BEMRV","BEMCT","4.228"
"BEMBM","BELBV","3.433"
"BEMLR","BERMARD","5.8"
"BEMCH","BEMML","3.2"
"BESY","BEMBM","3.567"
"BEMCT","BELHM","5.0"
"BEMRY","BEMHN","1.5"
"BERMARD","BEMCH","4.0"
"BEYAGSS","BEMTF","7.322"
"BEMHN","BELSN","1.1"
"BELSN","BEMPS","3.7"
"BEMRVM","BEMRV","0.912"
"BELBV","BEMLR","8.6"
"BEYAGSS","BEMGRL","0.932"
"BEFRO","BEFSS","6.1"
"BEFPS","BEFPSC","0.5"
"BEFTX","BEFRO","1.4"
"BEFSS","BEFSSG","0.8"
"BEFJL","BEFTX","0.9"
"BEFPSC","BEFJL","2.8"
"BEREP","BERER","7.857"
"BEGWK","BEREP","6.0"
"BEFLE","BENSK","2.4"
"BELKD","BEFDD","1.9"
"BEFKS","BELKD","1.5"
"BEFVT","BEGKA","4.0"
"BEFKR","BEYLBGO","1.0"
"BEYBCKS","BEFJT","0.9"
"BEFKB","BEFSMB","2.847"
"BEFJT","BEFBSG","3.0"
"BEFLS","BEFLE","4.9"
"BEGKA","BEYFML","2.325"
"BEYFML","BEFML","0.175"
"BEFSMB","BEFTN","2.853"
"BEYZEBR","BEYLAKN","0.2"
"BEYLAKN","BEFBL","0.9"
"BEFTN","BEFKS","3.7"
"BEFRMB","BERFLSO","1.398"
"BEFBN","BERFBNF","0.822"
"BEFML","BEYFMLW","0.5"
"BEFCB","BEFVT","2.29"
"BENSK","BEFCB","3.51"
"BEFDD","BEFRMB","3.5"
"BERFBNF","BEYZEBR","0.9"
"BERFLSO","BEFLS","1.502"
"BEYLBGW","BEFGSP","2.7"
"BEYLBGO","BEYLBGW","0.7"
"BEMGA","BEFKB","2.175"
"BEFBL","BEYBCKS","0.5"
"BEFBSG","BEMGA","1.125"
"BEYFMLW","BEFKR","2.5"
"BEFGSP","BERSNBR","1.4"
"BERSNBR","BEYASLS","1.28"
"BEYFMLW","BERFKRS","1.8"
"BERFKRS","BEFKR","0.7"
"BEFKR","BEYLBGO","1.0"
"BEYLBGO","BEYLBGW","0.7"
"BEYLBGW","BEFGSP","2.7"
"BEYSTBG","BEFPO","1.254"
"BEFPO","BERFRE","3.88"
"BERFRE","BEFR","1.78"
"BEFDD","BEYWLLE","2.2"
"BEYFML","BESPVM","2.336"
"BERFSDG","BEFSDPT","0.686"
"BEFSDM","BEFSDW","1.2"
"BERFSDC","BEFSDM","0.566"
"BEFSDPT","BEFSD","1.149"
"BEFSDW","BERFSDG","0.352"
"BEFRSP","BEYBT","1.633"
"BEFR","BEFRSP","3.14"
"BEYBT","BEFBK","9.944"
"BEFLW","BERLZRF","0.37"
"BERLZRH","BELZS","0.9"
"BELZVHW","BELZRDL","1.1"
"BELZS","BELZVHW","1.1"
"BEYTDST","BEFLW","1.2"
"BEYBT","BEYDUDZ","2.667"
"BERLZRG","BELZR","0.524"
"BEYDUDZ","BEYTDST","2.6"
"BERLZRF","BERLZRG","1.516"
"BELZR","BERLZRH","0.79"
"BEFRSTN","BERFRE","0.14"
"BERFRE","BEFRV","0.943"
"BEFRV","BEFR","0.837"
"BEFHI","BEMUI","1.7"
"BEYBDWK","BEYPEL","1.833"
"BEYPEL","BEFHI","7.241"
"BEYDUDZ","BEYBDWK","1.826"
"BEMUI","BEFKK","1.331"
"BERFKRS","BEFKRSW","0.46"
"BEFKRSW","BEYLBGO","1.24"
"BEFKRCH","BERFKRS","0.5"
"BEFMLTW","BEFKRCH","0.124"
"BERLZRH","BELZE","0.541"
"BEYPEL","BEBPEL","1.281"
"BERLZRH","BELZE","0.541"
"BELZE","BEYSTBR","0.459"
"BEYSTBR","BELZNID","0.5"
"BERFSDG","BEFSDB","0.429"
"BEFSDA","BEFSD","0.887"
"BEFSDB","BEFSDA","0.519"
"BEFGSP","BEFGSPC","0.99"
"BEFGSPC","BERSNBR","0.41"
"BEFMB","BELNI","3.236"
"BELNI","BEFC","1.807"
"BEFRP","BEFRBS","3.199"
"BELKM","BERVRBK","2.011"
"BEFNZD","BEYFNZD","0.277"
"BEVCLST","BEFMB","0.804"
"BERVPRA","BEFRBZK","0.848"
"BEFRBS","BERVPRA","0.957"
"BEFOE","BERKLWU","0.984"
"BEFC","BELKM","1.182"
"BEFRBZK","BEVCLST","0.206"
"BERVRBK","BEVUMIC","2.05"
"BERKLIJ","BEFNZD","1.32"
"BERKLWU","BERKLIJ","1.924"
"BEVUMIC","BEFOE","1.395"
"BERKLWU","BEFNKL","0.855"
"BEFNKL","BERKLIJ","1.069"
"BERVPRA","BEVPRAY","0.644"
"BEVVRBK","BERVRBK","0.15"
"BEFWSTP","BEFWB","1.085"
"BEFRVA","BEFR","0.75"
"BEFRVB","BEFRVA","0.605"
"BERFRE","BEFRVB","0.425"
"BEYFMLW","BEFMLTW","1.176"
"BEFMLTW","BERFKRS","0.624"
"BERFKRS","BEFKRCL","1.067"
"BEFKRCL","BEYLBGO","0.633"
"BERSNBR","BEFGSPB","0.4"
"BERFLSO","BEFLSO","0.594"
"BEFLSO","BEFLS","0.908"
"BEFGN","BEFMD","2.002"
"BEFAD","BEFDM","3.782"
"BEYFLVM","BEFLV","1.642"
"BEFIZ","BERFIZT","0.3"
"BEHBS","BEFWG","3.6"
"BEYDLBR","BEYFLVM","1.297"
"BEFZL","BEFKP","4.336"
"BERFIZT","BEYHEVR","1.7"
"BEFCB","BEFNW","2.406"
"BEGHR","BEFOB","3.1"
"BEFAT","BEFATWS","0.67"
"BEFVP","BEHBS","2.2"
"BEFDM","BEFDR","2.753"
"BEFNW","BEFAD","2.937"
"BEFMD","BEFZL","4.845"
"BEFM","BEFIZ","3.0"
"BEFKPZK","BEYHEIK","3.578"
"BEFKP","BEFKPZK","0.45"
"BEFWG","BEYDLBR","1.955"
"BEYHEIK","BEFM","4.849"
"BEFDR","BEFRA","3.877"
"BEFOB","BEFAT","3.2"
"BEYHEVR","BEGHR","0.1"
"BEFATWS","BEFVP","1.33"
"BEFRA","BEFGN","3.213"
"BEYDLBR","BEYHLBK","1.39"
"BEYFIZ","BEFM","1.5"
"BERANDO","BEANDL","0.344"
"BEFBMZ","BEYFBKI","2.706"
"BERANDW","BE1903","3.708"
"BEYFBKI","BERANDO","0.89"
"BELKD","BEFDD","1.9"
"BEANDL","BERANDW","0.466"
"BE1903","BE1902","5.128"
"BEYSKL","BELKD","2.3"
"BE1902","BEYSKL","4.414"
"BEFRP","BELOB","3.9"
"BEYHEIK","BERHKLC","1.121"
"BELOB","BEFTS","3.6"
"BERHKLC","BEFWBZK","6.2"
"BEFWB","BEFRP","5.3"
"BEFWBZK","BEFWB","0.6"
"BEFTS","BEFSN","8.0"
"BEYRVRT","BEYWPGM","5.0"
"BEFWO","BEYESTZ","1.162"
"BEYWPGM","BEFZZ","7.3"
"BEYESTZ","BEYRVRT","0.715"
"BEFZZ","EU00094","1.511"
"BEYESTN","BELGBG","1.5"
"BEYRVRT","BEYESTN","0.5"
"BEYWPGM","BERBZKN","0.317"
"BERBZKN","BEFZNKN","0.375"
"BEFZNKN","BEFKLDN","2.608"
"BEYASLS","BEFDO","1.47"
"BEFLM","BEFLMR","1.265"
"BEFDO","BEFLM","5.92"
"BEFDR","BEFZ","8.255"
"BEFZ","BEFLK","6.453"
"BEYLBGO","BEYLBGN","0.7"
"BEYLBGW","BEFUGW","0.5"
"BEFUGW","BEYLBGN","0.2"
"BELSD","BELWT","4.962"
"BEYBOMA","BEYMUDE","0.63"
"BEFWO","BEFMV","2.472"
"BERFWOB","BEFWO","1.053"
"BEYLBGN","BEFUGE","0.8"
"BEYMUDE","BEFWOW","0.71"
"BEFGDM","BEYBOMA","1.667"
"BEFWOW","BERFWOB","1.53"
"BELWT","BEFKLO","3.964"
"BEFMV","BELSD","3.243"
"BEFUGE","BEFGDM","2.233"
"BET017","BEYMUDE","0.412"
"BEFGZH","BET017","0.833"
"BERFWOB","BEFWOB","0.449"
"BEFWOB","BEFWO","0.604"
"BEYMUDE","BEGGDOK","1.35"
"BELSW","BEFLKO","4.8"
"BELZDD","BELZD","0.671"
"BEFCV","BEYFCVW","0.8"
"BEFSN","BELLB","4.6"
"BEYMSLE","BELM","0.311"
"BEFBR","BEFNU","5.8"
