"source","target","sectionspeed"
"FR0000016364","FR0000006401","40.0"
"FR9900001611","FR0000008390","40.0"
"FR0000006401","FR9900001921","30.0"
"FR0000008390","FR0000014112","30.0"
"FR0000012118","FR0000003851","30.0"
"FR0000001647","FR0000016363","40.0"
"FR0000014112","FR0000001073","40.0"
"FR0000012115","FR9900001054","40.0"
"FR0000016656","FR9900001611","40.0"
"FR0000007464","FR9900003494","117.5"
"FR0000004272","FR0000008944","112.5"
"FR0000006897","FR0000001374","93.33333333333333"
"FR9900003494","FR0000007209","120.0"
"FR0000000372","FR0000001516","120.0"
"FR0000008966","FR0000006897","93.33333333333333"
"FR0000002374","FR0000006960","120.0"
"FR0000000375","FR0000000905","150.0"
"FR0000003933","FR0000000206","62.5"
"FR0000014847","FR0000003938","112.5"
"FR0000000905","FR0000008009","150.0"
"FR0000004531","FR0000007464","112.5"
"FR0000007209","FR0000008966","93.33333333333333"
"FR0000001374","FR0000003933","93.33333333333333"
"FR0000000219","FR0000004272","112.5"
"FR0000001516","FR0000002374","110.0"
"FR0000008944","FR0000014847","112.5"
"FR0000006960","FR0000000219","122.5"
"FR0000008009","FR0000000372","120.0"
"FR0000003938","FR0000004531","112.5"
"FR0000000905","FR0000000813","60.0"
"FR0000015633","FR0000004003","140.0"
"FR0000014053","FR0000009533","140.0"
"FR0000001005","FR0000003121","120.0"
"FR0000009533","FR0000015633","140.0"
"FR0000002472","FR0000005560","120.0"
"FR0000004907","FR0000014053","140.0"
"FR0000006886","FR0000011189","135.0"
"FR0000008579","FR0000005814","140.0"
"FR0000005640","FR0000004907","140.0"
"FR0000008822","FR0000001654","125.0"
"FR0000010612","FR0000005640","140.0"
"FR0000001522","FR0000000141","150.0"
"FR0000012225","FR0000008822","125.0"
"FR0000001323","FR0000007688","120.0"
"FR0000004500","FR0000003849","120.0"
"FR0000007688","FR0000004500","120.0"
"FR0000002080","FR0000003750","125.0"
"FR0000005814","FR0000008345","140.0"
"FR0000005560","FR0000002887","120.0"
"FR0000006997","FR0000002080","125.0"
"FR0000000141","FR0000006997","125.0"
"FR0000001654","FR0000000219","125.0"
"FR0000004003","FR0000001522","150.0"
"FR0000008345","FR0000010612","140.0"
"FR0000003121","FR0000001323","120.0"
"FR0000002887","FR0000010253","120.0"
"FR0000010253","FR0000008579","135.0"
"FR0000003849","FR0000006886","125.0"
"FR0000003750","FR0000012225","125.0"
"FR0000011189","FR0000002472","120.0"
"FR0000000372","FR0000001603","60.0"
"FR0000004432","FR0000006499","100.0"
"FR0000006499","FR0000009586","105.0"
"FR0000000386","FR0000015705","105.0"
"FR0000001663","FR0000002004","100.0"
"FR0000012224","FR0000003750","105.0"
"FR0000008475","FR0000004432","120.0"
"FR0000009073","FR0000002701","100.0"
"FR0000002701","FR0000015024","100.0"
"FR0000001603","FR0000001516","100.0"
"FR0000015024","FR0000001849","100.0"
"FR0000001849","FR0000005726","100.0"
"FR0000002374","FR0000001654","105.0"
"FR0000012018","FR0000000652","120.0"
"FR0000005726","FR0000012018","105.0"
"FR0000003750","FR0000002080","105.0"
"FR0000000652","FR0000001644","120.0"
"FR0000015705","FR0000001603","90.0"
"FR0000009586","FR0000000386","105.0"
"FR0000001644","FR0000008475","120.0"
"FR0000001654","FR0000012224","105.0"
"FR0000002004","FR0000009073","100.0"
"FR0000003037","FR9900003793","30.0"
"FR0000000911","FR0000007854","30.0"
"FR0000000091","FR0000000911","90.0"
"FR0000007854","FR9900001081","30.0"
"FR0000013634","FR0000005915","100.0"
"FR0000001772","FR0000013634","100.0"
"FR0000013635","FR0000001772","100.0"
"FR0000002665","FR0000013635","100.0"
"FR0000006773","FR0000002722","120.0"
"FR0000005915","FR0000000102","100.0"
"FR0000002722","FR0000011919","120.0"
"FR0000011417","FR0000007022","60.0"
"FR0000002602","FR0000006773","120.0"
"FR0000007022","FR0000002350","80.0"
"FR0000002350","FR0000012256","80.0"
"FR0000012256","FR0000002874","80.0"
"FR0000003690","FR0000002602","120.0"
"FR0000002874","FR0000005041","80.0"
"FR0000000612","FR0000003209","80.0"
"FR0000005041","FR0000003838","80.0"
"FR0000008795","FR0000014640","95.0"
"FR0000003838","FR0000004821","80.0"
"FR0000004821","FR0000003974","80.0"
"FR0000004660","FR0000002173","90.0"
"FR0000003974","FR0000004660","60.0"
"FR0000002962","FR0000003845","90.0"
"FR0000002173","FR0000003322","90.0"
"FR0000003322","FR0000003135","90.0"
"FR0000001237","FR0000002962","90.0"
"FR0000003135","FR0000000312","90.0"
"FR0000004934","FR0000001237","75.0"
"FR0000003845","FR0000016661","90.0"
"FR0000016661","FR0000006681","90.0"
"FR0000003852","FR0000002399","90.0"
"FR0000000312","FR0000000278","90.0"
"FR0000002399","FR0000003017","90.0"
"FR0000011919","FR0000003115","120.0"
"FR0000003797","FR0000003690","120.0"
"FR0000003209","FR0000003797","80.0"
"FR0000003017","FR0000003579","90.0"
"FR9900003977","FR0000003852","90.0"
"FR0000003579","FR0000004865","90.0"
"FR0000004865","FR0000008148","90.0"
"FR0000000102","FR0000000612","100.0"
"FR0000008148","FR0000009647","90.0"
"FR0000009647","FR0000006419","90.0"
"FR0000006419","FR0000002834","75.0"
"FR0000002834","FR0000011417","60.0"
"FR0000006681","FR9900003977","90.0"
"FR0000003115","FR0000008795","120.0"
"FR0000014640","FR0000004934","75.0"
"FR0000000102","FR0000001692","30.0"
"FR0000001692","FR0000000685","30.0"
"FR0000000612","FR0000001692","30.0"
"FR0000004472","FR0000004359","80.0"
"FR0000003352","FR0000004472","80.0"
"FR0000002315","FR0000003352","80.0"
"FR0000003490","FR0000003110","80.0"
"FR0000003110","FR0000002315","80.0"
"FR9900002135","FR0000004461","80.0"
"FR0000000840","FR0000000607","80.0"
"FR0000004359","FR0000005300","80.0"
"FR0000005040","FR0000000840","80.0"
"FR0000001080","FR0000005040","80.0"
"FR0000004854","FR0000003490","80.0"
"FR0000004461","FR0000004854","80.0"
"FR0000000607","FR9900002135","80.0"
"FR0000003266","FR0000002394","80.0"
"FR0000016574","FR0000002953","80.0"
"FR0000009687","FR0000000806","30.0"
"FR0000002394","FR0000001237","80.0"
"FR0000005300","FR0000016574","80.0"
"FR0000002953","FR0000003266","80.0"
"FR0000000806","FR0000016245","30.0"
"FR0000002328","FR0000001145","60.0"
"FR0000010098","FR0000002328","60.0"
"FR0000001985","FR9900003609","60.0"
"FR9900003609","FR0000010098","60.0"
"FR0000001145","FR0000001223","60.0"
"FR0000004992","FR0000002543","220.0"
"FR0000002665","FR0000000747","130.0"
"FR0000007944","FR0000009610","220.0"
"FR0000004785","FR0000000908","200.0"
"FR0000004095","FR0000001531","120.0"
"FR0000005880","FR0000004499","160.0"
"FR0000003561","FR0000005880","160.0"
"FR0000009610","FR9900001685","200.0"
"FR0000013515","FR0000015735","200.0"
"FR0000015735","FR0000001953","200.0"
"FR0000001984","FR0000004783","160.0"
"FR0000001517","FR0000015178","116.66666666666667"
"FR0000003325","FR0000007944","220.0"
"FR0000007955","FR0000004785","200.0"
"FR9900001685","FR0000013515","200.0"
"FR0000002121","FR0000003561","140.0"
"FR0000002461","FR0000003949","220.0"
"FR0000000354","FR0000003704","220.0"
"FR0000007401","FR0000001218","220.0"
"FR0000000836","FR0000013519","130.0"
"FR0000007947","FR0000001186","130.0"
"FR0000001588","FR0000000309","200.0"
"FR0000013519","FR0000002121","130.0"
"FR0000002543","FR0000000354","220.0"
"FR0000003977","FR0000001588","200.0"
"FR0000001951","FR0000001388","220.0"
"FR0000003704","FR0000003325","220.0"
"FR0000015178","FR0000008138","116.66666666666667"
"FR0000001953","FR0000003977","200.0"
"FR0000008138","FR0000004095","120.0"
"FR0000001218","FR0000001984","220.0"
"FR0000009558","FR0000002461","220.0"
"FR0000008341","FR0000007947","130.0"
"FR0000001182","FR0000007955","200.0"
"FR0000004499","FR0000002205","200.0"
"FR0000003949","FR0000002720","220.0"
"FR0000001388","FR0000009558","220.0"
"FR0000009190","FR0000001517","160.0"
"FR0000003227","FR0000003976","220.0"
"FR0000022975","FR0000008341","130.0"
"FR0000001080","FR0000009037","220.0"
"FR0000004783","FR0000012150","220.0"
"FR0000004038","FR0000008460","220.0"
"FR0000005040","FR0000001080","220.0"
"FR0000000607","FR0000005040","220.0"
"FR0000005022","FR0000003700","220.0"
"FR0000009532","FR0000001102","160.0"
"FR0000001203","FR0000000607","220.0"
"FR0000002205","FR0000007238","200.0"
"FR0000000908","FR0000009532","200.0"
"FR0000001772","FR0000001951","130.0"
"FR0000007238","FR0000002419","200.0"
"FR0000001531","EU00138","130.0"
"FR0000002419","FR0000004080","200.0"
"FR0000012149","FR0000015788","220.0"
"FR0000003976","FR0000001203","220.0"
"FR0000008460","FR0000004444","220.0"
"FR0000003700","FR0000004992","220.0"
"FR0000000309","FR0000001182","200.0"
"FR0000007908","FR0000007401","140.0"
"FR9900004486","FR0000022975","130.0"
"FR0000007795","FR0000003099","220.0"
"FR0000002720","FR0000004038","220.0"
"FR0000003099","FR0000004802","220.0"
"FR0000004080","FR0000009190","200.0"
"FR9900004487","FR9900004486","125.0"
"FR0000004802","FR0000003227","220.0"
"FR0000000747","FR0000001772","130.0"
"FR0000001186","FR0000000836","130.0"
"FR0000009649","FR0000012149","220.0"
"FR0000009037","FR0000007908","220.0"
"FR0000004444","FR0000007795","220.0"
"FR0000003093","FR9900004487","120.0"
"FR0000015788","FR0000005022","220.0"
"FR0000012150","FR0000009649","220.0"
"FR0000001182","FR0000000485","30.0"
"FR0000000840","FR9900003858","50.0"
"FR0000003267","FR0000001086","70.0"
"FR0000002609","FR0000002529","70.0"
"FR0000007537","FR0000003267","70.0"
"FR0000001218","FR0000007537","70.0"
"FR0000002529","FR0000005887","70.0"
"FR0000005887","FR0000002299","70.0"
"FR0000001086","FR0000003388","70.0"
"FR0000003388","FR0000002609","70.0"
"FR0000002299","FR0000009133","40.0"
"FR0000002987","FR0000004715","100.0"
"FR0000004715","FR0000004730","100.0"
"FR0000004730","FR0000003644","100.0"
"FR0000003644","FR0000003891","100.0"
"FR0000009133","FR0000002987","100.0"
"FR0000005258","FR0000002647","40.0"
"FR0000003891","FR0000005258","100.0"
"FR0000003138","FR0000002186","60.0"
"FR0000003636","FR9900001039","60.0"
"FR0000002186","FR0000003414","60.0"
"FR0000003414","FR0000003636","60.0"
"FR0000002647","FR0000003138","40.0"
"FR0000006147","FR0000000946","40.0"
"FR0000004783","FR0000001733","40.0"
"FR0000007649","FR0000016634","40.0"
"FR0000016634","FR0000016231","40.0"
"FR0000000946","FR0000007649","40.0"
"FR0000001733","FR0000006147","40.0"
"FR9900003838","FR9900003794","30.0"
"FR0000000354","FR9900003838","30.0"
"FR0000007320","FR0000001170","40.0"
"FR9900001296","FR0000007320","40.0"
"FR0000015874","FR9900001296","40.0"
"FR0000001170","EU00017","90.0"
"FR0000005873","FR0000016439","90.0"
"FR0000011145","FR0000001170","90.0"
"FR0000000836","FR0000000827","90.0"
"FR0000007768","FR0000005873","90.0"
"FR0000000827","FR0000007170","90.0"
"FR0000016439","FR0000011145","90.0"
"FR0000009067","FR9900001459","90.0"
"FR9900001459","FR0000007768","90.0"
"FR9900001458","FR0000009067","90.0"
"FR0000007170","FR9900001458","90.0"
"FR0000013389","FR0000006441","80.0"
"FR0000001933","FR0000006757","90.0"
"FR0000001588","FR0000007849","90.0"
"FR0000013391","FR0000001933","80.0"
"FR0000000485","FR0000013389","80.0"
"FR9900001613","FR0000013391","80.0"
"FR0000006441","FR0000011448","80.0"
"FR0000006757","FR0000007972","90.0"
"FR0000002057","FR0000002121","60.0"
"FR0000007849","FR0000000485","80.0"
"FR0000007972","FR0000002057","90.0"
"FR0000013390","FR9900001613","80.0"
"FR0000011448","FR0000013390","80.0"
"FR0000002057","FR0000001186","60.0"
"FR0000004107","FR9900001059","40.0"
"FR0000003744","FR0000005476","120.0"
"FR0000005085","FR0000016452","80.0"
"FR0000009209","FR0000005085","60.0"
"FR0000005476","FR0000009209","120.0"
"FR0000016454","FR0000003744","120.0"
"FR0000000309","FR0000003977","140.0"
"FR0000003006","FR0000016454","120.0"
"FR0000003370","FR0000006907","140.0"
"FR0000000490","FR0000003370","140.0"
"FR0000001953","FR0000000490","140.0"
"FR0000003977","FR0000001953","140.0"
"FR0000006907","FR0000003006","140.0"
"FR0000004769","FR0000007713","80.0"
"FR0000016452","FR0000004769","80.0"
"FR9900002191","FR0000002824","80.0"
"FR0000002277","FR0000004107","70.0"
"FR0000003109","FR0000002277","70.0"
"FR0000009274","FR0000003109","50.0"
"FR0000007713","FR9900002191","80.0"
"FR0000009268","FR0000004167","50.0"
"FR0000004167","FR0000009274","50.0"
"FR0000016448","FR0000009268","80.0"
"FR0000005075","FR0000016448","80.0"
"FR0000002708","FR0000005075","80.0"
"FR0000004968","FR0000002708","80.0"
"FR0000002824","FR0000004968","80.0"
"FR0000000490","FR9900002142","50.0"
"FR9900002142","FR0000002377","50.0"
"FR0000002377","FR0000004754","70.0"
"FR0000004754","FR0000004470","70.0"
"FR0000005128","FR0000016158","70.0"
"FR0000004470","FR0000005128","70.0"
"FR0000007928","FR9900001049","30.0"
"FR9900001925","FR0000007928","30.0"
"FR0000008461","FR9900001925","30.0"
"FR0000001531","FR0000008461","30.0"
"FR0000001951","FR0000000871","70.0"
"FR0000000463","FR0000000283","70.0"
"FR0000000685","FR0000000463","70.0"
"FR0000000871","FR0000000685","70.0"
"FR0000000162","FR9900001775","30.0"
"FR0000016333","FR0000001198","40.0"
"FR0000001198","FR9900003748","40.0"
"FR0000008710","FR0000004587","140.0"
"FR0000012839","FR0000000911","110.0"
"FR0000008319","FR0000014017","150.0"
"FR0000001967","FR0000008319","150.0"
"FR0000008382","FR0000003037","150.0"
"FR0000003356","FR0000000737","150.0"
"FR0000001223","FR0000000488","110.0"
"FR0000004587","FR0000012839","110.0"
"FR0000007551","FR0000008382","150.0"
"FR0000000206","FR0000001258","30.0"
"FR0000007416","FR0000007551","125.0"
"FR0000001657","FR0000001223","110.0"
"FR0000008219","FR0000003933","60.0"
"FR0000000737","FR0000003693","150.0"
"FR0000014017","FR0000003356","150.0"
"FR0000003693","FR0000004762","140.0"
"FR0000012876","FR0000005543","150.0"
"FR0000005543","FR0000004948","150.0"
"FR0000000555","FR0000001374","140.0"
"FR0000000488","FR0000003615","100.0"
"FR0000001374","FR0000008219","140.0"
"FR0000003615","FR0000007416","100.0"
"FR0000004762","FR0000000900","140.0"
"FR0000000900","FR0000008710","140.0"
"FR0000001361","FR0000000722","150.0"
"FR0000004948","FR0000005297","150.0"
"FR0000000911","FR0000000555","140.0"
"FR0000003037","FR0000012876","150.0"
"FR0000005297","FR0000001361","150.0"
"FR0000000722","FR0000001967","150.0"
"FR0000000722","FR0000001715","127.5"
"FR0000001388","FR0000001630","70.0"
"FR0000001630","FR0000001109","70.0"
"FR0000001294","FR0000008254","30.0"
"FR0000008254","FR0000015911","30.0"
"FR0000001630","FR0000000871","70.0"
"FR0000016662","FR9900001777","120.0"
"FR0000014891","FR0000007347","110.0"
"FR9900001777","EU00016","120.0"
"FR0000014890","FR0000001294","110.0"
"FR0000007347","FR9900001776","110.0"
"FR0000011314","FR0000008972","110.0"
"FR9900001776","FR0000012690","110.0"
"FR0000001109","FR0000014891","110.0"
"FR0000000747","FR0000011314","110.0"
"FR0000001294","FR0000016662","95.0"
"FR0000002665","FR0000006347","110.0"
"FR0000003592","FR0000014890","110.0"
"FR0000006347","FR0000000747","110.0"
"FR0000008972","FR0000001109","110.0"
"FR0000012690","FR0000003592","110.0"
"FR0000003021","FR0000007299","100.0"
"FR0000003692","FR0000003021","100.0"
"FR9900002017","FR0000004197","100.0"
"FR0000005931","FR0000005176","100.0"
"FR0000002368","FR0000002847","100.0"
"FR0000002275","FR0000005243","100.0"
"FR0000005346","FR0000002312","100.0"
"FR0000006029","FR0000005346","100.0"
"FR0000005203","FR0000003090","100.0"
"FR0000010591","FR0000005203","100.0"
"FR0000009029","FR0000006134","100.0"
"FR0000002312","FR0000003692","100.0"
"FR0000004197","FR0000003862","100.0"
"FR0000005801","FR0000010591","100.0"
"FR0000004297","FR0000006029","100.0"
"FR0000003090","FR0000004743","100.0"
"FR0000002847","FR9900002017","100.0"
"FR0000007570","FR9900003347","90.0"
"FR0000001827","FR0000007804","90.0"
"FR0000005176","FR9900002020","100.0"
"FR0000000642","FR0000002368","100.0"
"FR0000004743","FR0000004297","100.0"
"FR9900002019","FR0000003685","80.0"
"FR0000006599","FR0000005801","100.0"
"FR9900003347","FR9900002104","90.0"
"FR0000006134","FR0000002897","100.0"
"FR0000002665","FR0000000709","160.0"
"FR0000000709","FR0000007570","160.0"
"FR0000003862","FR0000002275","100.0"
"FR9900002104","FR0000001827","90.0"
"FR0000005243","FR0000009029","100.0"
"FR0000002897","FR0000000630","100.0"
"FR0000007299","FR0000000642","100.0"
"FR0000003685","FR0000013359","85.0"
"FR0000000630","FR0000014965","100.0"
"FR0000014965","EU00015","100.0"
"FR0000013359","FR0000005931","85.0"
"FR0000007804","FR9900002019","80.0"
"FR9900002020","FR0000006599","100.0"
"FR9900003645","FR9900003505","30.0"
"FR0000001827","FR9900003645","30.0"
"FR0000005837","FR0000008849","120.0"
"FR0000005200","FR0000004905","100.0"
"FR0000001262","FR0000004501","100.0"
"FR0000001082","FR0000001432","100.0"
"FR0000002520","FR0000004562","120.0"
"FR0000004081","FR0000005837","120.0"
"FR0000003645","FR0000008913","65.0"
"FR0000008913","FR0000001262","90.0"
"FR0000001816","FR0000002520","120.0"
"FR0000000973","FR0000003645","120.0"
"FR0000008849","FR0000004590","120.0"
"FR9900003593","FR9000000204","100.0"
"FR0000002930","FR9900003593","100.0"
"FR0000003963","FR0000001082","100.0"
"FR0000004562","FR0000003920","120.0"
"FR0000004208","FR0000005200","100.0"
"FR0000004905","FR0000003963","100.0"
"FR0000004501","FR0000003955","100.0"
"FR0000003920","FR0000004081","120.0"
"FR0000008965","FR0000002930","100.0"
"FR0000003955","FR0000007237","100.0"
"FR0000007237","FR0000004208","100.0"
"FR0000004590","FR0000000973","120.0"
"FR0000001432","FR0000008965","100.0"
"FR0000006690","EU00014","80.0"
"FR0000001432","FR0000006690","80.0"
"FR0000009702","FR0000000642","30.0"
"FR0000000642","FR0000012622","30.0"
"FR9900001926","FR9900001085","35.0"
"FR0000012622","FR0000002847","30.0"
"FR0000002847","FR9900003760","30.0"
"FR9900003658","FR0000001019","35.0"
"FR0000000981","FR0000012540","40.0"
"FR0000012540","FR9900003658","40.0"
"FR0000001019","FR9900001926","35.0"
"FR0000004135","FR0000013660","80.0"
"FR0000008048","FR0000001055","100.0"
"FR9900000790","FR0000000670","65.0"
"FR0000013660","FR9900001155","80.0"
"FR9900001412","FR9900002149","100.0"
"FR9900001155","FR9900001148","80.0"
"FR9900001413","FR9900001412","100.0"
"FR9900001455","FR9900001413","100.0"
"FR0000000670","FR9900001455","100.0"
"FR0000001055","FR0000004135","90.0"
"FR9900002149","FR0000008048","100.0"
"FR9900001196","FR0000002886","30.0"
"FR9900001201","FR9900001196","40.0"
"FR0000002860","FR9900004098","30.0"
"FR0000005254","FR9900001679","95.0"
"FR9900001679","FR0000009833","95.0"
"FR0000003825","FR0000005254","70.0"
"FR0000009833","FR0000005110","95.0"
"FR0000005110","FR0000002860","80.0"
"FR0000004895","FR0000003825","70.0"
"FR9900004505","FR9900001201","50.0"
"FR9900001148","FR9900001218","80.0"
"FR9900001218","FR9900001383","80.0"
"FR0000002886","FR9900000790","30.0"
"FR9900000592","FR9900001164","80.0"
"FR0000000973","FR0000015225","40.0"
"FR0000015225","FR0000000981","40.0"
"FR0000000981","FR0000003645","50.0"
"FR0000005238","FR0000000990","90.0"
"FR0000006844","FR0000005238","90.0"
"FR0000015226","FR0000001262","90.0"
"FR0000001262","FR0000006844","90.0"
"FR0000003645","FR0000015226","50.0"
"FR0000000990","FR0000001543","70.0"
"FR0000001543","FR0000004895","70.0"
"FR9900001383","FR9900000592","80.0"
"FR9900001206","FR9900000207","80.0"
"FR9900000207","FR0000000824","80.0"
"FR9900001164","FR9900001206","80.0"
"FR0000004492","FR0000022844","50.0"
"FR9900001033","FR9900003632","50.0"
"FR0000016299","FR0000001163","50.0"
"FR0000001163","FR0000004492","40.0"
"FR0000022844","FR0000001239","50.0"
"FR0000001239","FR9900001033","50.0"
"FR0000011964","FR0000004119","100.0"
"FR0000013893","FR0000011964","100.0"
"FR0000008230","FR0000000203","100.0"
"FR0000003196","FR0000006805","100.0"
"FR0000000203","FR0000003196","100.0"
"FR0000003994","FR0000003344","50.0"
"FR0000003344","FR0000003363","80.0"
"FR0000004119","FR0000001758","100.0"
"FR0000007550","FR0000003994","50.0"
"FR0000005081","FR0000007550","50.0"
"FR0000006805","FR0000013893","100.0"
"FR0000001239","FR0000004492","110.0"
"FR0000006922","FR0000001163","110.0"
"FR0000004996","FR0000001776","100.0"
"FR0000001163","FR0000002039","110.0"
"FR0000002039","FR0000004843","95.0"
"FR0000001213","FR0000001117","110.0"
"FR9900002081","FR0000001213","110.0"
"FR0000000408","FR0000005570","95.0"
"FR0000004843","FR0000000408","95.0"
"FR0000005570","FR0000003355","95.0"
"FR0000003355","FR0000006357","80.0"
"FR0000006357","FR0000001877","100.0"
"FR0000001653","FR0000005081","100.0"
"FR0000009469","FR9900002081","90.0"
"FR0000005029","FR0000009469","70.0"
"FR0000000468","FR0000005029","70.0"
"FR0000004492","FR0000006922","110.0"
"FR0000001117","FR0000001239","110.0"
"FR0000001776","FR0000008230","100.0"
"FR0000001877","FR0000004996","100.0"
"FR0000001758","FR0000001653","100.0"
"FR0000000276","FR0000005723","80.0"
"FR0000005503","FR0000000276","80.0"
"FR0000007541","FR0000005503","80.0"
"FR0000005723","FR0000002886","80.0"
"FR0000003038","FR0000007541","80.0"
"FR0000003363","FR0000003038","80.0"
"FR0000002886","FR0000000670","70.0"
"FR0000000670","FR9900002150","70.0"
"FR9900002150","EU00013","70.0"
"FR0000002099","FR0000005659","160.0"
"FR0000005659","FR0000010395","160.0"
"FR0000001601","FR9900001024","40.0"
"FR0000010395","FR0000001601","160.0"
"FR0000001601","FR0000000916","160.0"
"FR0000008387","FR0000005429","40.0"
"FR9900003635","FR0000008387","40.0"
"FR0000005429","FR0000004385","40.0"
"FR0000008917","FR9900003795","30.0"
"FR0000004385","FR0000008917","0.0"
"FR0000001792","FR0000003980","40.0"
"FR0000010073","FR0000004385","40.0"
"FR0000003980","FR0000010073","40.0"
"FR0000001653","FR0000001792","40.0"
"FR0000007447","FR0000005073","150.0"
"FR0000001055","FR9900001365","130.0"
"FR0000004135","FR0000001055","130.0"
"FR0000005073","FR0000005797","120.0"
"FR0000007687","FR0000007447","150.0"
"FR0000004844","FR0000006146","125.0"
"FR0000003296","FR0000004844","125.0"
"FR0000005797","FR0000003296","125.0"
"FR0000006146","FR0000004135","130.0"
"FR0000006033","FR0000005686","130.0"
"FR0000004822","FR0000007192","100.0"
"FR0000001967","FR0000001098","150.0"
"FR0000001098","FR0000002988","150.0"
"FR0000002988","FR0000004522","150.0"
"FR0000015404","EU00012","110.0"
"FR0000005686","FR0000004822","100.0"
"FR0000012481","FR0000015404","110.0"
"FR0000009359","FR0000012481","110.0"
"FR0000003356","FR0000001967","150.0"
"FR0000000737","FR0000003356","150.0"
"FR0000007192","FR0000009359","105.0"
"FR0000004522","FR0000007687","150.0"
"FR9900001365","FR0000006033","130.0"
"FR0000002445","FR0000000738","80.0"
"FR0000008976","FR0000007787","80.0"
"FR0000007787","FR0000002445","80.0"
"FR0000005082","FR0000002947","80.0"
"FR0000000738","FR0000014897","80.0"
"FR0000002947","FR0000008976","80.0"
"FR0000014897","FR0000007154","80.0"
"FR0000007154","FR9900002106","80.0"
"FR9900002106","FR9900004091","80.0"
"FR0000000738","FR0000007499","50.0"
"FR0000007499","EU00011","50.0"
"FR0000010857","FR0000004336","80.0"
"FR0000002492","FR0000006002","80.0"
"FR9900004472","FR0000004102","80.0"
"FR0000002870","FR0000002492","80.0"
"FR0000001720","FR9900004472","66.66666666666667"
"FR0000004336","FR0000002401","80.0"
"FR0000003595","FR0000010857","80.0"
"FR0000004102","FR0000007934","80.0"
"FR0000013502","FR0000002870","80.0"
"FR0000006002","FR0000003595","80.0"
"FR0000002401","FR0000005082","80.0"
"FR0000004346","FR0000013502","80.0"
"FR0000008409","FR9900004496","70.0"
"FR9900004496","FR0000001720","70.0"
"FR0000007934","FR0000005513","80.0"
"FR0000005513","FR0000004346","80.0"
"FR0000001566","FR0000008409","70.0"
"FR0000002137","FR0000002526","90.0"
"FR9900000983","FR0000008857","90.0"
"FR9900000088","FR9900004192","90.0"
"FR0000001880","FR0000002137","90.0"
"FR0000002995","FR0000005911","90.0"
"FR0000002526","FR0000002995","90.0"
"FR9900004192","EU00010","90.0"
"FR0000004563","FR9900000983","90.0"
"FR0000003577","FR9900000088","90.0"
"FR0000005911","FR0000004563","90.0"
"FR0000007410","FR0000003577","90.0"
"FR0000008857","FR0000007410","90.0"
"FR0000001720","FR0000001880","90.0"
"FR0000006464","FR0000010641","116.0"
"FR0000003311","FR0000002102","145.0"
"FR0000011484","FR0000009442","122.0"
"FR0000005214","FR0000003729","145.0"
"FR0000000404","FR0000007370","98.0"
"FR0000006215","FR0000000194","115.0"
"FR0000007370","FR0000006215","130.0"
"FR0000004622","FR0000000404","105.0"
"FR0000010641","FR0000011484","122.0"
"FR0000002053","FR0000004622","112.5"
"FR0000005834","FR0000010642","145.0"
"FR0000003729","FR0000005396","145.0"
"FR0000000194","FR0000005834","115.0"
"FR0000006558","FR0000010640","145.0"
"FR0000000206","FR0000006446","110.0"
"FR0000006446","FR0000001258","110.0"
"FR0000001258","FR0000001764","110.0"
"FR0000008499","FR9900004085","110.0"
"FR9900004085","FR0000005048","110.0"
"FR0000001764","FR0000001362","110.0"
"FR0000010640","FR0000006464","145.0"
"FR0000008893","FR0000002063","145.0"
"FR0000001362","FR0000011455","110.0"
"FR0000000984","FR0000008893","145.0"
"FR0000005048","FR0000002053","110.0"
"FR0000006989","FR0000000984","145.0"
"FR0000002102","FR0000006989","145.0"
"FR9900001583","FR0000008499","110.0"
"FR0000009442","FR0000005214","122.0"
"FR0000010642","FR0000006558","145.0"
"FR0000010029","FR0000003311","145.0"
"FR0000011455","FR9900001583","110.0"
"FR0000005396","FR0000010029","145.0"
"FR0000009110","FR0000015077","140.0"
"FR0000015077","FR0000000808","140.0"
"FR0000002288","FR0000009110","140.0"
"FR0000000625","FR9900002018","140.0"
"FR0000007721","FR9900003070","145.0"
"FR0000000808","FR0000007721","140.0"
"FR9900004497","FR9900004475","140.0"
"FR9900002018","EU00102","140.0"
"FR0000012972","FR0000002391","130.0"
"FR0000002391","FR9900004480","130.0"
"FR9900003070","FR0000000480","140.0"
"FR0000001566","FR9900004497","130.0"
"FR0000009341","FR0000002353","140.0"
"FR0000000480","FR9900004503","125.0"
"FR9900004475","FR9900004473","140.0"
"FR9900004503","FR0000007561","125.0"
"FR0000007561","FR0000014142","130.0"
"FR0000014142","FR0000012972","130.0"
"FR0000002353","FR0000000625","140.0"
"FR9900004480","FR0000001566","130.0"
"FR9900004473","FR0000009341","140.0"
"FR0000005651","FR0000002288","140.0"
"FR0000002063","FR0000005651","140.0"
"FR0000000404","FR0000016190","30.0"
"FR0000007698","FR0000009118","40.0"
"FR9900003648","FR0000007097","40.0"
"FR0000008609","FR9900003648","40.0"
"FR0000000194","FR0000007698","40.0"
"FR0000009118","FR0000008609","40.0"
"EU00100","FR0000000421","60.0"
"FR9900001585","FR0000013875","70.0"
"FR0000000091","FR0000012843","65.0"
"FR0000012843","FR9900001585","70.0"
"FR0000001494","FR0000000091","70.0"
"FR0000013875","FR0000001362","65.0"
"FR0000009370","FR0000012841","65.0"
